Job,Total Compensation
Transit Operator,76177.78
Licensed Vocational Nurse,112220.94
Transit Operator,108273.36
Publ Svc Aide-Asst To Prof,23391.9
Clinical Psychologist,114055.01
Pharmacy Helper,108728.59
Medical Evaluations Assistant,94024.08
Asst Engr,46409.66
Senior Eligibility Worker,19619.88
Librarian 1,40979.22
Police Officer 2,170826.29
Manager I,43524.03
Special Nurse,32153.79
Epidemiologist 2,144896.36
Custodian,92253.09
General Laborer,96113.85
Asst Dir Of Clinical Svcs 1,173429.31
Sergeant 3,51914.18
Library Technical Assistant 1,107422.75
Special Nurse,22599.26
EEO Senior Specialist,77680.52
Protective Services Worker,144678.78
Police Officer 3,175612.43
Water Service Inspector,129223.01
"Asst Clk, Board Of Supervisors",125307.73
Porter,89330.03
Senior Food Service Worker,43348.33
Cook,121536.3
Pr Administrative Analyst,163656.71
Public Safetycomm Disp,141428.73
Health Educator,133295.67
IS Business Analyst-Principal,172908.93
Clerk,33571.86
Special Nurse,95537.77
Sergeant 3,258489.8
Custodian,87195.45
Senior Parts Storekeeper,94471.09
Police Officer 3,168433.97
Pharmacy Technician,122867.22
IS Engineer-Journey,165760.03
Senior Eligibility Worker,113696.66
Transit Operator,108379.94
EMT/Paramedic/Firefighter,134882.71
Storekeeper,79851.15
Senior Physician Specialist,149576.78
Firefighter,206169.32
Police Officer 2,190185.7
Patient Accounts Clerk,97925.86
Respiratory Care Practitioner,16926.09
Senior Personnel Clerk,102832.87
Dep Dir III,252514.11
Power Generation Technician 2,44646.82
Sr Fare Collections Receiver,112521.04
Nurse Manager,107858.28
Police Officer,59543.73
Chief Adult Prob Offcr (SFERS),197986.45
Electr Instrmntn Tech Wtr Poll,150524.43
Truck Driver,92895.41
Nursing Assistant,133564.49
Registered Nurse,218025.77
Painter,117072.71
Painter,125273.81
Personnel Analyst,111962.24
Registered Nurse,188536.47
Social Work Supervisor,127138.12
Special Nurse,20670.97
Lieutenant 3,215665.08
Commercial Div Asst Sprv,137451.37
PS Aide To Prof,66990.12
Junior Engineer,17260.29
Transit Operator,53940.0
"Sr Marriage, Fam & Cld Cnslr",107219.48
Transit Operator,33198.68
Transit Operator,27301.46
"Stdntdsgntrain1, Arch/Eng/Plng",13203.22
Police Officer,138429.25
Senior Clerk,82149.35
EMT/Paramedic/Firefighter,215740.59
Patient Care Assistant,79977.78
Utility Specialist,104651.75
Painter,140220.7
Registered Nurse,171337.65
Assessor-Recorder Office Spec,96053.91
Registered Nurse,215782.39
Program Specialist,67014.72
Registered Nurse,178122.73
Public Safetycomm Supv,165680.26
Senior Housing Inspector,171632.43
Police Officer,44168.33
Sr Payroll & Personnel Clerk,113297.64
Health Worker 3,99877.21
Plumber,135541.38
Patient Care Assistant,76938.41
Legal Secretary 1,114584.52
Customer Service Agent,103516.92
Medical Evaluations Assistant,50491.64
Transit Operator,60545.09
Automotive Body & Fender Wrk,99535.59
Special Nurse,43576.42
Junior Engineer,126966.92
Licensed Vocational Nurse,112023.5
Electronic Maintenance Tech,192584.45
Deputy Chief 3,356271.86
Junior Administrative Analyst,24545.67
Transit Operator,103172.27
Social Worker,15550.78
Transit Operator,25581.1
Executive Secretary 3,125969.84
Sergeant 3,209508.28
Porter,85460.72
Human Services Technician,99020.64
IS Engineer-Principal,198990.41
Sergeant 2,57912.85
Hospital Eligiblity Worker,80140.4
Transit Operator,79551.84
Special Nurse,184778.52
Automotive Mechanic Asst Sprv,101942.56
Transit Operator,106840.74
Recreation Leader,18366.19
Attorney (Civil/Criminal),246592.25
Medical Evaluations Assistant,94270.25
Medical Evaluations Assistant,59830.47
Management Assistant,106548.28
Senior Personnel Clerk,104973.55
Police Officer,17667.57
Media/Security Sys Spec,38404.54
Custodian,76959.64
Chief Stationary Engineer,159405.32
Sergeant 3,209577.91
Electrician,136738.16
"Lieutenant, Fire Suppression",205309.33
Library Technical Assistant 1,57503.83
Police Officer,61969.2
Police Officer 2,166828.38
"Battlion Chief, Fire Suppressi",323251.46
Police Officer 2,182972.64
Senior Clerk Typist,92861.59
Transit Operator,46889.85
Painter,77823.75
Special Nurse,43485.97
General Laborer,26882.19
Medical Social Worker,109319.32
Firefighter,165775.46
Transit Operator,96265.1
Power Generation Technician 2,161018.32
Senior Legal Process Clerk,85411.84
Pr Environmental Hlth Insp,171838.08
Transit Operator,65553.66
IS Business Analyst-Principal,52199.02
Registered Nurse,111626.14
Statnry Eng Water Treat Plant,16257.66
Public Service Trainee,30052.73
Deputy Court Clerk II,111615.68
Home Health Aide,94508.77
Registered Nurse,77715.02
Eligibility Worker Supervisor,139867.57
Employment & Training Spec 3,109761.0
"Member, Board Of Supervisors",163776.81
Registered Nurse,198863.01
Real Property Appraiser,125706.1
Manager IV,224554.87
Parking Control Officer,91962.35
Special Nurse,21650.39
Child Support Officer II,116520.1
Gardener,93115.22
Eligibility Worker,96183.3
Hospital Elig Wrk Supervisor,158820.85
"Captain, Fire Suppression",258037.9
Police Officer 2,154458.5
"Electrl Trnst Mech, Asst Sprv",186460.49
Planner 2,111861.68
General Laborer,44086.68
Lieutenant 3,222037.85
Chief Fire Alarm Dispatcher,137867.76
Manager VI,234469.49
Principal Clerk,74775.91
Automotive Mechanic Sprv 1,191032.19
Health Worker 2,93866.79
Medical Evaluations Assistant,81789.77
Registered Nurse,136185.88
Accountant IV,157874.29
Patient Care Assistant,37049.36
Assoc Engineer,162308.87
PS Aide To Prof,60943.08
Transit Operator,54063.57
Deputy Sheriff,161140.13
Personnel Analyst,123086.2
Physician Specialist,237750.95
Bldgs & Grounds Maint Supt,120706.18
Senior Eligibility Worker,32643.56
Registered Nurse,92961.7
Airport Operations Supervisor,151886.24
Sheriff's Lieutenant,202931.67
Firefighter,198889.48
Manager I,149879.43
Transit Operator,75527.29
Transit Operator,98927.31
Transit Operator,37117.68
Customer Service Agent Supv,133207.7
Clerk,15358.2
Mayoral Staff XI,109276.52
Administrative Analyst,106549.76
Transit Operator,131428.22
Health Worker 3,95126.35
Accountant IV,88208.13
Public Service Trainee,16058.86
Stationary Engineer,159231.33
IT Operations Support Admn III,108712.19
Sheriff's Cadet,71671.42
Planner 1,84314.49
"Manager IV, MTA",73363.61
Transit Operator,88207.82
Library Technical Assistant 1,109120.82
Police Officer,44166.18
Sergeant 3,185009.41
Electrician Supervisor 1,204746.56
Stationary Engineer,158028.28
Deputy Court Clerk III,129861.42
Locksmith,130898.29
Senior Eligibility Worker,91227.71
Security Guard,81731.15
Parking Control Officer,90387.71
Library Page,39483.75
Special Nurse,109729.81
Transit Operator,139208.93
Custodian,95599.43
Junior Management Assistant,23604.62
Museum Sec Supv,125964.51
Automotive Service Worker,27734.3
Storekeeper,94365.55
Manager V,226769.11
IS Business Analyst-Principal,39304.12
Gardener,97761.97
Assistant Health Educator,118506.29
Recreation Leader,19814.14
Auditor II,24915.38
Special Nurse,68527.04
Pharmacy Technician,133631.23
Sr Psychiatric Social Worker,139758.97
Transit Operator,60242.7
Police Officer,121750.21
HSA Social Worker,54985.65
Electrician,164695.34
Sr Community Devl Spc 1,105872.89
Medical Records Clerk,95534.58
Publ Svc Aide-Asst To Prof,28173.25
Registered Nurse,195644.14
Deputy Probation Officer SFERS,93851.97
Senior Personnel Analyst,66133.14
Industrial Injury Investigator,98950.49
Transit Supervisor,148709.82
Dietitian,103845.93
Sergeant 3,280773.3
Engineer,114748.44
Dietitian,122853.51
Cashier 2,90804.81
Manager I,149938.02
IS Engineer-Journey,169224.04
Nurse Practitioner,233136.06
Transit Operator,125835.12
Transit Manager 2,172211.08
Bldg & Grounds Patrol Officer,96682.4
Management Assistant,85493.7
"Counselor, Juvenile Hall",108426.57
Bldg & Grounds Patrol Officer,94502.77
Psychiatric Social Worker,28373.99
Assistant Chief Attorney 1,280659.64
Storekeeper,56155.23
IS Engineer-Principal,200640.99
Psychiatric Social Worker,118524.06
Transit Operator,47289.29
Attorney (Civil/Criminal),227502.28
Stationary Engineer,61278.08
Health Care Billing Clerk 2,106760.28
Police Officer,164640.21
Sergeant 2,71155.17
Project Manager 1,57680.8
Transit Operator,162432.52
IS Trainer-Journey,124403.4
Public Safetycomm Disp,75277.55
Medical Evaluations Assistant,72121.17
Deputy Sheriff,174791.76
Sergeant 2,190595.3
Public Health Nurse,203355.19
Manager II,187948.67
Custodian,88332.28
Public Health Nurse,192611.01
Custodian,78188.71
Physician Specialist,21227.18
Health Program Coordinator 3,146249.35
Library Technical Assistant 1,105462.98
Senior Account Clerk,99834.39
Firefighter,189346.82
"Lieutenant, Fire Suppression",267521.38
Junior Management Assistant,86482.56
Food Service Worker,72390.49
Victim/Witness Investigator 3,129159.24
Firefighter,191664.94
Court Reporter,172551.01
IT Operations Support Admin II,135529.77
Senior Account Clerk,99047.85
Transit Operator,127530.34
"Counselor, Juvenile Hall",120533.89
Deputy Sheriff,148525.72
"Lieutenant, Fire Suppression",273884.55
Special Nurse,78533.31
Sergeant 2,196265.39
Architectural Associate 1,90912.88
Assoc Engineer,89808.32
Transit Operator,120912.49
Clerk,83061.49
Communications Dispatcher 1,85530.32
Architectural Assistant 2,123053.28
Patient Care Assistant,56258.41
Patient Care Assistant,108166.51
IT Operations Support Admin V,157754.5
Clerk,22986.6
Cement Mason,114274.39
Porter,91703.92
Senior Physician Specialist,317776.0
Police Officer 3,181641.54
Senior Eligibility Worker,77852.34
Librarian 1,113472.31
Painter,118758.48
Planner 2,76663.89
Police Officer 3,196686.26
Plumber,159695.09
IS Business Analyst-Assistant,102718.71
Publ Svc Aide-Asst To Prof,26148.85
Sr Psychiatric Social Worker,89482.98
Principal Water Services Clerk,111330.93
PS Aide Health Services,19984.23
Public Service Trainee,30054.37
Custodian,87939.92
Parking Control Officer,70258.11
Supervising Pharmacist,176584.34
Museum Guard,16900.35
Personnel Clerk,87443.71
Criminalist II,161169.95
Emp & Training Spec 2,121324.36
Senior Personnel Analyst,150160.93
Senior Clerk Typist,93530.77
Senior Deputy Sheriff,188496.61
Emp & Training Spec 2,38040.0
Sr Payroll & Personnel Clerk,111984.25
Senior Clerk,98208.29
Engineering Associate 2,136377.29
Transit Operator,146569.84
Senior Stationary Engineer,150271.52
"Lieutenant, Fire Suppression",271254.61
Sergeant 3,200395.39
Junior Engineer,83722.09
"Manager V, MTA",207534.59
Supervising Physician Spec,332360.71
Senior Administrative Analyst,143611.63
Special Nurse,64701.96
Parking Hearing Examiner,103480.1
Custodian,96338.36
Transit Operator,110767.49
Firefighter,209576.71
Legislative Assistant,55711.94
Personnel Technician,52661.82
Firefighter,183029.91
Firefighter,185702.75
Assoc Engineer,167551.88
"Station Agent, Muni Railway",129135.8
Maintenance Planner,152340.49
Registered Nurse,125110.42
Engineer,179448.7
Transit Operator,141383.22
Police Officer 2,190786.28
Administrative Analyst,124830.59
Lieutenant (Police Department),16174.3
Registered Nurse,160636.21
Executive Secretary 2,19432.76
Sergeant 3,196748.35
Senior Clerk,30878.49
Patient Care Assistant,77488.15
HSA Social Worker,95182.21
Lieutenant 3,246397.16
Principal Clerk,109675.82
Assoc Engineer,162514.62
Apprentice Gardener,58652.58
Sewer Service Worker,153906.51
Transit Operator,106455.31
Pharmacy Technician,130072.94
Special Nurse,116291.92
"Head Atty, Civil & Criminal",265766.8
Telephone Operator,84288.63
Firefighter,198771.02
Administrative Analyst,103269.91
Power Generation Technician 2,161849.88
Food Service Worker,83631.4
Police Officer 3,176660.78
Firefighter,172683.6
Assoc Engineer,162324.26
Firefighter,182326.01
Planner 3,143176.26
Administrative Analyst,76776.96
Police Officer 3,47309.47
Librarian 1,122218.06
Registered Nurse,206312.43
HSA Social Worker,116945.9
Assistant Inspector 3,248258.98
Sr Microphoto/Imaging Tech,90176.57
Transit Car Cleaner,135770.24
Medical Records Clerk,98639.08
Eligibility Worker,47000.7
Registered Nurse,195158.62
"Stdntdsgntrain3, Arch/Eng/Plng",39806.96
Assistant Deputy Chief 2,324944.74
Airport Electrician,158080.54
Water Qualitytech I/II,106026.2
"Claims Investigator, Ca",147800.16
Commercial Div Asst Sprv,114458.52
EMT/Paramedic/Firefighter,104857.27
Registered Nurse,108426.22
Sr Community Devl Spc 1,136133.15
Customer Service Agent,105558.38
Police Officer,127360.84
Psychiatric Social Worker,119062.36
Parking Control Officer,129065.94
Transit Operator,74641.4
Senior Administrative Analyst,72187.37
Inspector 3,228621.23
Port Director,362507.78
IS Engineer-Principal,81395.42
IS Engineer-Journey,139960.24
Media Programming Spec,36063.71
Nursing Assistant,25228.83
Gardener,82579.77
Recreation Leader,14687.17
Senior Eligibility Worker,99897.83
Police Officer,123555.08
Museum Guard,18202.88
Registered Nurse,213579.04
Senior Clerk,36517.53
Police Officer 3,224159.54
Nursing Supervisor,313913.31
Transit Operator,105699.63
Eligibility Worker,83752.26
Porter,64577.06
Manager I,169565.09
"Stationary Eng, Sewage Plant",138913.63
Health Worker 3,101591.61
Hospital Eligiblity Worker,99242.79
Deputy Probation Officer,136055.09
Sr Fare Collections Receiver,57583.89
Registered Nurse,210712.14
IS Manager,235916.53
Custodian,91350.17
Shelter Service Rep,92590.14
Clerk,51869.39
Junior Clerk,25744.28
Captain 3,261105.7
PS Aide To Prof,35843.7
Transit Operator,27288.07
Parking Hearing Examiner,79039.32
Captain 3,265927.51
Assoc Engineer,162432.74
Transit Operator,136142.11
Clinical Nurse Specialist,141412.1
Transit Operator,69850.0
Deputy Sheriff,144972.15
Senior Eligibility Worker,143232.61
Registered Nurse,187282.12
Transit Operator,135715.64
Senior Telephone Operator,80942.01
Police Cadet,24004.44
Clerk,78272.55
Firefighter,264647.63
Physical Therapist,153470.83
Police Officer 2,35301.82
Building Inspector,85512.72
Program Support Analyst,151170.13
General Laborer,97812.58
Captain 3,248912.45
Deputy Court Clerk II,112103.53
Nurse Manager,158672.76
"Operating Engineer, Universal",140943.28
Truck Driver,120516.22
Library Page,40871.37
Community Police Services Aide,96621.17
Protective Services Worker,135545.65
Asst Engr,130295.56
Library Page,36445.6
Senior Clerk,40366.78
Med Staff Svcs Dept Anl,128765.19
Transit Operator,107151.2
Senior Eligibility Worker,114090.57
Protective Services Worker,143857.48
Food Service Worker,75263.56
Police Officer 2,162730.75
Senior Eligibility Worker,104728.89
Senior Building Inspector,173699.29
Medical Social Worker,132489.81
Physician Specialist,157328.78
IS Engineer-Senior,214521.86
Registered Nurse,209118.62
Health Worker 3,99731.95
Police Officer,175116.78
Health Program Coordinator 3,149976.57
Customer Service Agent Trainee,27410.59
Deputy Sheriff,150769.46
"Stationary Eng, Sewage Plant",139583.88
Transit Operator,116031.14
Engineering Associate 2,136423.11
Porter,28320.57
Senior Deputy Sheriff,149763.24
Junior Management Assistant,23703.14
Parking Control Officer,98834.08
"Captain, Fire Suppression",231036.57
Transit Operator,121120.91
EMT/Paramedic/Firefighter,213527.8
Assistant Retirement Analyst,118258.12
Psychiatric Social Worker,165651.25
Librarian 2,111600.46
Community Police Services Aide,108193.29
Eligibility Worker Supervisor,123101.92
Administrative Analyst,32708.2
Transit Operator,108825.63
Manager I,34704.87
Sr Environmental Hlth Insp,162474.94
Custodian,90939.65
Special Nurse,51718.57
Sergeant 3,219639.49
Legislative Assistant,141968.16
Senior Administrative Analyst,131790.43
Deputy Court Clerk II,112008.99
Cement Mason,123627.12
Parking Control Officer,125265.11
Prnpl Admin Analyst II,66031.04
Program Specialist,122371.81
Assoc Engineer,41695.2
Registered Nurse,199861.37
Transit Car Cleaner,140116.6
EMT/Paramedic/Firefighter,176261.12
Plumber,128293.64
Deputy Sheriff,149275.88
Deputy Court Clerk III,132148.9
"Battlion Chief, Fire Suppressi",41901.32
Electrical Trnst Shop Sprv 1,230166.51
Transit Operator,132852.25
Community Police Services Aide,101321.72
Senior Eligibility Worker,91788.35
Manager II,210559.01
Parking Control Officer,133463.69
Transit Fare Inspector,131911.28
"Station Agent, Muni Railway",154464.84
Public Service Trainee,16293.65
Special Nurse,41348.6
PS Aide To Prof,27195.41
Sheriff's Sergeant,257936.01
Medical Evaluations Assistant,108661.02
Apprentice Gardener,16758.45
Senior Account Clerk,20338.02
Planner Technician,34457.51
Secretary 2,39515.34
Special Nurse,79775.86
"Station Agent, Muni Railway",136263.35
Worker's Compensation Adjuster,32353.06
Special Nurse,29793.38
Captain 3,298195.09
Transit Planner 4,162317.41
Secretary 1,88998.67
Registered Nurse,191486.01
IT Operations Support Admn III,42513.4
Principal Clerk,107734.13
Public Information Officer,101906.94
Sr Community Devl Spc 1,136061.02
Offset Machine Operator,57754.61
Senior Parking Control Officer,121670.27
Deputy Court Clerk III,131908.67
Sr Community Devl Spc 1,77375.05
Patient Care Assistant,91385.88
Architect,185131.95
Fare Collections Receiver,103867.82
Principal Clerk,110112.99
Custodian,90932.24
Clerk,50337.14
Captain 3,147255.61
Accountant Intern,51044.13
Transit Operator,171596.63
Police Officer,44153.97
Secretary 1,86255.2
Registered Nurse,210298.61
Custodian,86297.93
Senior Administrative Analyst,143480.09
Assoc Engineer,31560.53
Personnel Analyst,95308.8
Manager III,194499.87
Police Officer,125283.97
Health Program Coordinator 3,143122.98
IT Operations Support Admin II,105315.35
Transit Operator,158690.75
Health Worker 3,99081.95
Manager I,154914.4
Firefighter,216693.2
Library Technical Assistant 1,38320.98
Special Nurse,13358.01
Electrical Transit System Mech,132773.83
Museum Guard,74540.56
Deputy Sheriff,170177.26
Citizens Complaint Officer,27515.54
Transit Operator,120663.73
Health Program Coordinator 3,158894.29
Public Safetycomm Disp,143146.24
Parking Control Officer,138319.99
Senior Clerk,66248.82
Accountant II,104569.07
Medical Records Clerk,20088.29
Civil Case Settlmnt Specialist,188317.43
PS Aide To Prof,62136.2
HSA Social Worker,116735.16
Asst Engr,96235.08
Clinical Pharmacist,134089.02
Senior Administrative Analyst,139330.18
Food Service Worker,37379.89
Transit Operator,55380.66
Transit Operator,125890.63
Firefighter,200940.71
Patient Care Assistant,100000.84
Police Officer,163122.7
Administrative Analyst,38131.27
Assoc Engineer,157302.4
General Laborer,96980.56
Licensed Vocational Nurse,102699.28
Electrician,150882.38
Construction Inspector,146880.52
Senior Eligibility Worker,57557.7
Police Officer 3,168508.89
Principal Clerk,107734.18
Registered Nurse,176314.51
Transit Supervisor,149869.19
Assistant Law Librarian,196074.62
Recreation Coordinator,54244.25
Nurse Practitioner,245478.47
Registered Nurse,115803.29
Eligibility Worker Supervisor,63275.42
Dep Dir III,270896.1
Assistant Purchaser,49464.98
Lieutenant 3,220172.21
Community Police Services Aide,113912.2
Health Worker 2,67759.05
Customer Service Agent,111783.32
Transit Operator,67356.57
Police Officer,114603.51
Painter,129128.41
Administrative Analyst,117144.76
Sergeant 3,139197.46
"Court Invstgtor, Superior Crt",150457.99
Transit Operator,129386.57
Utility Plumber Supervisor 1,223720.69
Executive Secretary 2,117463.48
Transit Operator,90058.27
Public Service Trainee,25125.46
Human Services Technician,100052.54
Transit Car Cleaner,60037.57
Transit Operator,158264.68
Senior Eligibility Worker,75182.59
Principal Account Clerk,110295.47
Electrical Transit System Mech,147227.56
Medical Social Worker,88353.18
Registered Nurse,184540.99
Museum Guard,87261.32
Police Officer 3,166724.76
Attorney (Civil/Criminal),246544.53
Patient Care Assistant,102181.51
Anesthetist,340240.17
Architectural Associate 1,138473.82
Custodian,87604.17
Clerk Typist,85959.04
Attorney (Civil/Criminal),60616.62
Patient Care Assistant,126369.83
Transit Operator,111114.32
Firefighter,34268.05
Library Assistant,69701.98
Custodian,69974.91
Police Officer,143521.84
"Stdntdsgntrain1, Arch/Eng/Plng",20306.67
Maintenance Planner,156514.09
Parking Control Officer,99869.54
Sergeant 3,186688.12
District Attry's Investigator,156279.29
Transit Operator,111794.25
Deputy Sheriff,152953.41
Police Officer,123129.79
"Station Agent, Muni Railway",143640.57
Police Officer,44168.33
Police Officer 3,202419.82
Central Processing & Dist Tech,112717.98
Transit Operator,144809.8
Senior Physician Specialist,156666.22
"Div Director, Adult Probation",177669.39
Health Care Analyst,126998.67
Health Educator,133390.72
Transit Operator,47994.59
Apprentice Stationary Engineer,121744.53
Plumber,147295.47
Parking Control Officer,98239.6
Medical Evaluations Assistant,88122.55
"Sr Statnry Eng, Wtr Treat Plnt",156142.56
Court Administrator,213124.91
Registered Nurse,224019.57
Recreation Coordinator,94619.4
IT Operations Support Admn III,122080.58
Recreation Leader,17110.05
Transit Operator,123057.71
Planner 3-Environmental Review,23069.97
Estate Investigator,121604.86
Gardener,63533.67
Police Officer,17673.1
EMT/Paramedic/Firefighter,137810.91
Inspector 3,231550.48
Clerk,82809.71
Deputy Sheriff,250120.46
Transit Operator,113388.83
Building Inspector,146977.29
Junior Engineer,83591.38
Lieutenant 3,220617.54
Recreation Leader,16855.19
Registered Nurse,195029.03
Police Officer 3,71794.96
Fare Collections Receiver,97148.44
General Laborer,107493.11
EMT/Paramedic/Firefighter,203096.83
Transit Operator,74591.73
Library Technical Assistant 1,108836.88
Junior Administrative Analyst,65613.28
Cement Mason,103529.94
Manager VI,260351.27
Publ Svc Aide-Asst To Prof,25191.99
Firefighter,252507.58
Personnel Analyst,97305.72
Library Assistant,93438.35
Gardener,108279.93
Custodian,58726.05
Deputy Court Clerk III,130321.01
Library Page,18701.91
IS Business Analyst-Senior,151529.94
Senior Physician Specialist,72975.73
Sergeant 3,58342.65
Patient Care Assistant,97954.74
Transit Operator,33160.71
Transit Operator,132472.05
Transit Operator,121349.65
Sign Worker,41322.52
Park Section Supervisor,117363.43
Special Nurse,41143.49
Safety Analyst,139782.77
Cable Splicer,117792.49
Police Officer,149442.12
Library Technical Assistant 2,116202.75
Senior Eligibility Worker,112870.76
Special Nurse,41228.51
Eng/Arch/Landscape Arch Sr,218554.67
"Marriage, Family & Child Cnslr",26860.73
IS Engineer-Journey,163799.37
Firefighter,128376.24
Firefighter,204489.95
Firefighter,118281.69
Gardener,104365.51
Police Officer 2,45037.79
Police Officer 3,169594.5
Dept Head V,375731.44
IT Operations Support Admin II,105286.73
Attorney (Civil/Criminal),246521.34
Real Property Appraiser,125845.39
Transit Operator,120116.66
Social Work Specialist,122072.44
Police Officer 3,164745.34
Utility Plumber Supervisor 1,214663.25
Environmental Health Inspector,88407.9
Public Safetycomm Disp,189317.43
Employment & Training Spec 3,73916.17
Dep Dir III,230605.59
Accountant IV,30708.94
Deputy Sheriff,173414.79
Special Nurse,40168.77
Senior Water Services Clerk,103599.83
"Chf Stationary Eng, Sew Plant",196887.93
Special Nurse,97867.9
IT Operations Support Admin II,64929.81
Transit Operator,60242.72
Special Nurse,53327.36
"Counselor, Juvenile Hall",39584.38
Real Property Appraiser,127049.02
Police Officer 3,175318.19
Transit Planner 2,47552.38
Senior Clerk,88936.19
Social Work Specialist,122409.06
"Manager II, MTA",30228.98
Transit Operator,117282.48
Medical Evaluations Assistant,107792.5
Custodian,88566.85
Police Officer 2,130412.31
Transit Operator,114723.79
Medical Social Worker,123921.69
Special Nurse,148726.55
Firefighter,34268.06
Registered Nurse,202158.5
Porter,79462.5
Transit Supervisor,199133.34
Bldg & Grounds Patrol Officer,103246.09
"Lieutenant, Fire Suppression",264182.68
Porter,52660.69
Housekeeper/Food Service Clnr,81428.9
Transit Operator,118130.93
Estate Investigator,121301.42
Truck Driver,152805.04
Watershed Keeper,105279.47
Fire Alarm Dispatcher,19262.86
Recreation Coordinator,61190.0
Utility Plumber,126005.75
Electrician,142332.79
Police Officer 3,189837.52
Architect,185135.58
Protective Services Worker,168754.01
Estate Investigator,121440.27
Transit Operator,109937.48
"Lieutenant, Fire Suppression",189620.5
Senior Clerk Typist,92760.46
Medical Evaluations Assistant,111120.29
Custodian,87655.95
Child Support Officer II,113271.34
Manager I,158263.21
Court Manager,195937.1
Psychiatric Social Worker,31565.7
Librarian 2,133925.62
Epidemiologist 2,49948.26
Deputy Probation Officer,136748.49
Senior Clerk,100166.41
Administrative Analyst,125026.15
IT Operations Support Admn III,15246.65
Prnpl Admin Analyst II,120090.66
Asst Engr,94928.34
Asr Senior Office Specialist,83422.42
Police Officer 3,131079.04
"Sr Counselor, Juvenile Hall",125828.71
IS Business Analyst-Senior,43283.61
Registered Nurse,198224.1
Porter,77294.32
Senior Parts Storekeeper,91497.81
Senior Eligibility Worker,113263.16
Custodian,93542.59
Accountant III,117544.09
Registered Nurse,78658.72
Senior Water Service Inspector,163199.12
Diagnostic Imaging Tech I,113753.49
Personnel Clerk,67651.63
Sr Environmental Hlth Insp,159334.74
Stationary Engineer,49855.68
Police Officer,115258.82
Stationary Engineer,55826.92
Clerk,71776.88
Custodian,29108.78
Physical Therapist,114968.24
Public Relations Officer,81335.7
Senior Eligibility Worker,96238.44
Publ Svc Aide-Asst To Prof,32335.6
EMT/Paramedic/Firefighter,140105.71
Physician Specialist,82393.39
Senior Account Clerk,96476.4
General Laborer,97765.87
Sewer Service Worker,58863.49
Bricklayer,138210.35
Parking Control Officer,105786.78
IS Programmer Analyst-Senior,143114.66
Eligibility Worker Supervisor,63406.42
Lieutenant 3,219300.44
Stage Electrician,139386.19
Police Officer 3,188441.83
Special Nurse,18324.65
Patient Care Assistant,113510.79
HSA Social Worker,81434.37
Court Manager,113611.89
Patient Care Assistant,81747.12
Registered Nurse,194681.48
Painter,106401.64
Sr Payroll & Personnel Clerk,106017.1
Airport Safety Officer,123930.64
Licensed Vocational Nurse,106598.1
Bldg & Grounds Patrol Officer,60212.9
Librarian 1,101087.16
Stationary Engineer,33319.04
Registered Nurse,116533.56
Librarian 1,123020.16
Pr Payroll & Personnel Clerk,38747.83
Manager VIII,319693.32
Special Nurse,91461.33
Special Nurse,41423.44
Automotive Service Worker,94955.02
Transit Operator,117756.35
Public Service Trainee,25165.36
Sergeant 3,206087.89
Library Assistant,95557.14
Housekeeper/Food Service Clnr,80566.07
Licensed Vocational Nurse,22694.11
Electronic Maintenance Tech,160044.83
Public Service Trainee,44844.35
EMT/Paramedic/Firefighter,119748.23
Accountant II,87056.93
Firefighter,164131.72
Police Officer 3,263854.7
Electrical Transit System Mech,163942.82
Asst Engr,141925.62
Firefighter,60819.96
Utility Specialist,139754.99
Gardener,108669.13
Junior Management Assistant,18873.45
"Stationary Eng, Sewage Plant",92979.04
Attorney (Civil/Criminal),251050.6
Custodian,88954.67
Institution Utility Worker,26023.5
Engineer,185222.18
Maintenance Planner,42594.76
Deputy Sheriff,149160.93
Apprentice Stationary Engineer,67729.94
Transit Operator,100222.71
IS Engineer-Journey,172066.98
Custodian,93696.86
Police Officer 2,93060.57
Registered Nurse,176512.91
Community Police Services Aide,109662.84
Planner 3,30373.0
Hospital Elig Wrk Supervisor,135239.55
Custodian,87463.23
Library Assistant,92966.67
Stationary Engineer,121973.24
Sergeant 3,204220.52
Assoc Engineer,158754.91
Sr Environmental Hlth Insp,160248.85
Parking Control Officer,95273.9
EMT/Paramedic/Firefighter,276878.82
"Sprv, Traffic & Street Signs",139431.9
Assistant Retirement Analyst,85841.33
Police Officer,167554.7
Estate Investigator,121314.44
Psychiatric Social Worker,123393.97
Senior Clerk Typist,93159.32
Recreation Specialist,50305.84
Transit Operator,21046.96
Manager II,169744.85
Manager III,70651.55
Junior Administrative Analyst,19203.56
Senior Pharmacy Helper,111132.47
Sr Personal Property Auditor,142437.8
Transit Car Cleaner,106440.0
Police Officer 3,205125.77
Engineer/Architect Principal,122401.17
Automotive Body And Fender Worker Asst S,139938.68
Accountant II,105731.4
Lieutenant 3,217658.37
Lieutenant 3,70812.93
Police Officer 3,166876.05
Airport Property Specialist 1,28691.39
Dental Aide,35654.03
Library Page,39745.08
Auditor I,19869.38
HSA Social Worker,116640.54
Registered Nurse,202060.08
Pr Administrative Analyst,163803.76
Clerk Typist,86772.13
Transit Operator,129617.79
Registered Nurse,187934.26
Automotive Machinist,121812.74
Senior Physician Specialist,282077.25
Senior Clerk Typist,93947.02
Pr Administrative Analyst,163011.98
